127.0.0.1 - - [02/Jan/2019:21:29:29 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Jan/2019:21:29:31 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [02/Jan/2019:21:31:51 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [02/Jan/2019:21:31:52 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:05:42 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:05:42 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:05:42 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:07:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:11:06 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:11:06 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:11:06 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:21:57 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:21:57 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:21:57 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:26:23 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:26:25 +0900] "GET /BBS/join.jsp HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:26:34 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:34:54 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2003
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:34:54 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:34:54 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:35:18 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:35:18 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:35:19 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:35:19 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:35:19 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:22:35:19 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
